ddf_id,comment,depth_m12_0,depth_m11_0,depth_m10_0,depth_m9_0,depth_m8_0,depth_m7_0,depth_m6_0,depth_m5_0,depth_m4_0,depth_m3_0,depth_m2_0,depth_m1_5,depth_m1_0,depth_m0_5,depth_0_0,depth_0_5,depth_1_0,depth_1_5,depth_2_0,depth_3_0,depth_4_0,depth_5_0,depth_6_0,depth_7_0,depth_8_0,depth_9_0,depth_10_0,depth_11_0,depth_12_0,depth_13_0,depth_14_0,depth_15_0,depth_16_0,depth_17_0,depth_18_0,depth_19_0,depth_20_0,depth_21_0,depth_22_0,depth_23_0,depth_24_0
603,Applies to Milliman FoundationType (9) BasementFinishType 0,,,,,,,,,0.0,0.0,0.5,,0.7,,10.0,,23.4,,33.2,41.4,49.7,56.7,61.0,65.3,68.7,72.3,75.3,77.3,79.9,81.7,83.7,85.3,86.7,,,,,,,,
604,Applies to Milliman FoundationType (9) BasementFinishType 0,,,,,,,,,0.0,0.0,1.5,,1.6,,13.4,,27.0,,43.1,60.0,76.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,
605,"Applies to Milliman FoundationType (4,6,7,8) BasementFinishType 0",,,,,,,,,0.0,0.0,0.0,,0.4,,8.7,,22.3,,29.5,34.1,39.2,43.3,48.2,51.1,54.3,57.3,59.0,61.0,62.7,64.4,66.1,67.5,68.7,,,,,,,,
606,"Applies to Milliman FoundationType (4,6,7,8) BasementFinishType 0",,,,,,,,,0.0,0.0,0.0,,0.5,,11.3,,29.0,,38.4,44.4,50.9,56.3,62.7,66.4,70.6,74.5,76.7,79.3,81.5,83.7,85.9,87.8,89.3,,,,,,,,
607,"Applies to Milliman FoundationType (4,6,7,8) BasementFinishType 0",,,,,,,,,3.2,4.0,4.8,,8.3,,21.8,,37.3,,46.1,53.1,59.8,66.4,72.1,76.5,81.1,84.6,87.2,90.0,92.5,95.0,97.1,99.1,100.0,,,,,,,,
608,"Applies to Milliman FoundationType (4,6,7,8) BasementFinishType 0",,,,,,,,,8.0,10.0,12.0,,20.0,,37.7,,49.9,,57.7,66.2,73.2,81.5,86.3,91.8,96.9,99.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,
609,"Applies to Milliman FoundationType (4,6,7,8) BasementFinishType 0",,,,,,,,,0.0,0.0,0.0,,0.3,,6.5,,16.7,,22.1,25.6,29.4,32.5,36.2,38.3,40.7,43.0,44.3,45.8,47.0,48.3,49.6,50.6,51.5,,,,,,,,
610,"Applies to Milliman FoundationType (4,6,7,8) BasementFinishType 0",,,,,,,,,0.0,0.0,0.0,,0.4,,8.5,,21.8,,28.9,33.5,38.4,42.5,47.3,50.1,53.2,56.2,57.8,59.8,61.4,63.1,64.7,66.2,67.3,,,,,,,,
611,"Applies to Milliman FoundationType (4,6,7,8) BasementFinishType 0",,,,,,,,,0.0,0.6,0.7,,5.6,,15.9,,30.3,,41.3,50.5,59.0,65.5,68.8,72.0,75.9,80.1,81.9,85.1,86.9,89.1,90.8,92.5,94.0,,,,,,,,
612,"Applies to Milliman FoundationType (4,6,7,8) BasementFinishType 0",,,,,,,,,0.0,1.5,1.6,,13.4,,27.0,,43.1,,60.0,76.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,
613,Applies to Milliman FoundationType (2) BasementFinishType 1,,,,,,,,,0.0,0.0,3.0,,5.4,,13.7,,27.3,,34.5,39.1,44.2,48.3,53.2,56.1,59.3,62.3,64.0,66.0,67.7,69.4,71.1,72.5,73.7,,,,,,,,
614,Applies to Milliman FoundationType (2) BasementFinishType 1,,,,,,,,,0.0,0.0,5.0,,7.0,,16.3,,34.0,,43.4,49.4,55.9,61.3,67.7,71.4,75.6,79.5,81.7,84.3,86.5,88.7,90.9,92.8,94.3,,,,,,,,
615,Applies to Milliman FoundationType (2) BasementFinishType 1,,,,,,,,,8.0,9.0,12.5,,16.0,,29.5,,44.4,,53.0,60.3,67.1,73.9,79.5,84.1,88.7,92.1,93.4,94.7,95.7,96.9,97.9,98.9,99.7,,,,,,,,
616,Applies to Milliman FoundationType (2) BasementFinishType 1,,,,,,,,,16.0,18.0,20.0,,25.0,,42.7,,54.9,,62.7,71.2,78.2,86.5,91.3,96.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,
617,Applies to Milliman FoundationType (2) BasementFinishType 2,,,,,,,,,0.0,0.0,13.0,,15.4,,23.7,,37.3,,44.5,49.1,54.2,58.3,63.2,66.1,69.3,72.3,74.0,76.0,77.7,79.4,81.1,82.5,83.7,,,,,,,,
618,Applies to Milliman FoundationType (2) BasementFinishType 2,,,,,,,,,0.0,0.0,15.0,,17.0,,26.3,,44.0,,53.4,59.4,65.9,71.3,77.7,81.4,85.6,89.5,91.7,94.3,96.5,98.7,100.0,100.0,100.0,,,,,,,,
619,Applies to Milliman FoundationType (2) BasementFinishType 2,,,,,,,,,8.0,9.0,17.5,,21.0,,34.5,,49.4,,58.0,65.3,72.1,78.9,84.5,89.1,93.7,97.1,98.4,99.7,100.0,100.0,100.0,100.0,100.0,,,,,,,,
620,Applies to Milliman FoundationType (2) BasementFinishType 2,,,,,,,,,16.0,18.0,20.0,,25.0,,42.7,,54.9,,62.7,71.2,78.2,86.5,91.3,96.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,
621,Applies to Milliman FoundationType (2) BasementFinishType 1,,,,,,,,,0.0,0.0,2.0,,3.3,,9.5,,19.7,,25.1,28.6,32.4,35.5,39.2,41.3,43.7,46.0,47.3,48.8,50.0,51.3,52.6,53.6,54.5,,,,,,,,
622,Applies to Milliman FoundationType (2) BasementFinishType 1,,,,,,,,,0.0,0.0,5.0,,7.0,,11.5,,24.8,,31.9,36.5,41.4,45.5,50.3,53.1,56.2,59.2,60.8,62.8,64.4,66.1,67.7,69.2,70.3,,,,,,,,
623,Applies to Milliman FoundationType (2) BasementFinishType 1,,,,,,,,,6.0,7.0,10.5,,14.2,,23.2,,38.0,,50.0,60.2,69.7,76.7,79.1,80.5,82.1,83.6,84.4,85.4,86.2,87.1,87.9,88.6,89.2,,,,,,,,
624,Applies to Milliman FoundationType (2) BasementFinishType 1,,,,,,,,,12.0,14.0,16.0,,21.4,,35.0,,51.1,,68.0,84.0,98.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,
625,Applies to Milliman FoundationType (2) BasementFinishType 2,,,,,,,,,0.0,0.0,12.0,,13.3,,19.5,,29.7,,35.1,38.6,42.4,45.5,49.2,51.3,53.7,56.0,57.3,58.8,60.0,61.3,62.6,63.6,64.5,,,,,,,,
626,Applies to Milliman FoundationType (2) BasementFinishType 2,,,,,,,,,0.0,0.0,15.0,,17.0,,21.5,,34.8,,41.9,46.5,51.4,55.5,60.3,63.1,66.2,69.2,70.8,72.8,74.4,76.1,77.7,79.2,80.3,,,,,,,,
627,Applies to Milliman FoundationType (2) BasementFinishType 2,,,,,,,,,6.0,7.0,15.5,,19.2,,28.2,,43.0,,55.0,65.2,74.7,81.7,84.1,85.5,87.1,88.6,89.4,90.4,91.2,92.1,92.9,93.6,94.2,,,,,,,,
628,Applies to Milliman FoundationType (2) BasementFinishType 2,,,,,,,,,12.0,14.0,16.0,,21.4,,35.0,,51.1,,68.0,84.0,98.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,
629,,,,,,,,,,0.0,0.0,0.0,,5.4,,13.7,,27.3,,34.5,39.1,44.2,48.3,53.2,56.1,59.3,62.3,64.0,66.0,67.7,69.4,71.1,72.5,73.7,,,,,,,,
